Order Date,Sales
02-01-2014,468.9
03-01-2014,137.352
03-01-2014,376.509
03-01-2014,17.472
03-01-2014,63.552
03-01-2014,5.94
03-01-2014,362.25
03-01-2014,129.552
03-01-2014,457.568
03-01-2014,634.116
03-01-2014,18.84
04-01-2014,17.088
04-01-2014,29.6
04-01-2014,6.24
04-01-2014,66.96
06-01-2014,65.52
06-01-2014,166.72
06-01-2014,881.93
06-01-2014,22.2
06-01-2014,2001.86
06-01-2014,1503.25
06-01-2014,45.48
06-01-2014,47.88
06-01-2014,25.92
06-01-2014,289.2
06-01-2014,138.56
07-01-2014,19.92
07-01-2014,575.92
07-01-2014,5.184
08-01-2014,19.752
08-01-2014,44.128
08-01-2014,17.544
08-01-2014,5.68
08-01-2014,62.92
08-01-2014,78.304
09-01-2014,31.104
09-01-2014,53.94
09-01-2014,357
09-01-2014,23.744
09-01-2014,3.648
10-01-2014,4.71
11-01-2014,69.52
11-01-2014,10.272
11-01-2014,3.132
11-01-2014,5.64
11-01-2014,68.704
11-01-2014,22.428
11-01-2014,43.176
11-01-2014,1983.968
11-01-2014,7.52
11-01-2014,76.12
11-01-2014,167.94
11-01-2014,21.4
11-01-2014,15.696
11-01-2014,31.68
11-01-2014,443.92
11-01-2014,533.94
11-01-2014,47.808
11-01-2014,44.4
11-01-2014,155.976
11-01-2014,978.84
12-01-2014,909.72
12-01-2014,45.84
12-01-2014,46.64
12-01-2014,2807.84
12-01-2014,95.968
12-01-2014,659.988
12-01-2014,9.82
12-01-2014,8.128
12-01-2014,271.9
12-01-2014,36.288
12-01-2014,58.2
12-01-2014,674.058
13-01-2014,646.74
13-01-2014,50.94
13-01-2014,37.408
13-01-2014,1325.85
13-01-2014,333.999
13-01-2014,11.36
13-01-2014,572.58
13-01-2014,545.94
13-01-2014,3.438
13-01-2014,5.64
13-01-2014,19.9
14-01-2014,61.96
15-01-2014,149.95
16-01-2014,127.104
16-01-2014,30.072
16-01-2014,124.2
16-01-2014,18.588
18-01-2014,64.864
19-01-2014,181.47
19-01-2014,108.72
19-01-2014,56.064
19-01-2014,32.34
20-01-2014,23.34
20-01-2014,66.58
20-01-2014,43.92
20-01-2014,247.716
20-01-2014,19.05
20-01-2014,272.94
20-01-2014,14.73
20-01-2014,29.7
20-01-2014,1067.94
20-01-2014,67.194
20-01-2014,699.93
20-01-2014,38.6
20-01-2014,6.63
20-01-2014,19.36
20-01-2014,22.96
20-01-2014,19.3
20-01-2014,13.98
21-01-2014,25.248
23-01-2014,40.08
23-01-2014,5.94
26-01-2014,12.42
26-01-2014,155.35
26-01-2014,187.98
26-01-2014,10.68
26-01-2014,489.92
26-01-2014,19.44
26-01-2014,62.82
26-01-2014,16.68
26-01-2014,141.96
27-01-2014,57.23
27-01-2014,36.44
27-01-2014,333
28-01-2014,3.928
30-01-2014,10.56
30-01-2014,229.94
31-01-2014,290.666
02-02-2014,180.96
02-02-2014,12.35
02-02-2014,18.336
03-02-2014,3.424
03-02-2014,151.2
03-02-2014,11.36
03-02-2014,36.4
04-02-2014,177.68
04-02-2014,33.488
04-02-2014,26.72
04-02-2014,15.84
04-02-2014,154.9
04-02-2014,1049.93
05-02-2014,479.984
05-02-2014,26.136
06-02-2014,8.56
06-02-2014,239.97
06-02-2014,73.32
06-02-2014,356.94
06-02-2014,59.808
07-02-2014,5.58
07-02-2014,73.98
08-02-2014,838.38
08-02-2014,26.7
08-02-2014,21.2
09-02-2014,14.94
09-02-2014,1793.98
09-02-2014,239.976
09-02-2014,57.75
09-02-2014,19.9
09-02-2014,21.24
09-02-2014,559.71
09-02-2014,475.944
09-02-2014,70.71
10-02-2014,4.672
10-02-2014,15.36
10-02-2014,318.4
10-02-2014,12.768
10-02-2014,7.16
10-02-2014,9.408
10-02-2014,230.376
11-02-2014,52.792
11-02-2014,41.94
11-02-2014,539.964
11-02-2014,362.92
11-02-2014,799.92
11-02-2014,50.232
11-02-2014,88.776
11-02-2014,89.34
11-02-2014,34.86
11-02-2014,46.384
11-02-2014,19.242
12-02-2014,39.96
12-02-2014,60.72
12-02-2014,15.24
12-02-2014,119.8
12-02-2014,2.394
12-02-2014,146.82
12-02-2014,5.95
12-02-2014,16.464
12-02-2014,15.66
12-02-2014,58.36
12-02-2014,883.92
12-02-2014,119.96
12-02-2014,239.84
12-02-2014,46.72
14-02-2014,238.62
14-02-2014,239.97
14-02-2014,16.176
14-02-2014,81.96
15-02-2014,21.36
16-02-2014,7.96
16-02-2014,1.08
17-02-2014,54.208
18-02-2014,25.16
18-02-2014,12.624
20-02-2014,62.31
20-02-2014,20.32
20-02-2014,12.96
21-02-2014,8.85
22-02-2014,19.44
23-02-2014,6.936
23-02-2014,4.428
24-02-2014,32.896
24-02-2014,22.776
27-02-2014,19.456
01-03-2014,16.448
02-03-2014,83.84
02-03-2014,13.272
03-03-2014,176.772
03-03-2014,19.456
03-03-2014,44.672
03-03-2014,302.45
03-03-2014,9.99
03-03-2014,626.352
03-03-2014,125.76
03-03-2014,25.32
03-03-2014,15.12
04-03-2014,11.16
04-03-2014,62.31
04-03-2014,159.98
05-03-2014,40.176
05-03-2014,21.56
05-03-2014,10.896
06-03-2014,61.544
06-03-2014,15.28
06-03-2014,515.88
06-03-2014,132.696
06-03-2014,15.936
08-03-2014,21.36
08-03-2014,2.6
08-03-2014,218.75
08-03-2014,39.96
08-03-2014,102.3
08-03-2014,93.024
09-03-2014,7.68
09-03-2014,14.4
10-03-2014,6.192
10-03-2014,143.432
10-03-2014,15.072
10-03-2014,1.788
10-03-2014,14.48
10-03-2014,142.488
10-03-2014,122.352
10-03-2014,31.776
10-03-2014,4.344
10-03-2014,55.984
10-03-2014,61.568
10-03-2014,4.928
10-03-2014,258.279
11-03-2014,3.488
11-03-2014,5.76
11-03-2014,11.64
11-03-2014,6.72
11-03-2014,286.344
11-03-2014,783.96
11-03-2014,143.856
11-03-2014,89.97
11-03-2014,14.301
11-03-2014,945.036
11-03-2014,48.896
11-03-2014,410.352
11-03-2014,7.856
11-03-2014,25.984
12-03-2014,25.92
12-03-2014,479.96
14-03-2014,8.448
14-03-2014,82.8
14-03-2014,62.048
14-03-2014,10.56
14-03-2014,33.088
14-03-2014,3.38
14-03-2014,1139.92
14-03-2014,574.91
14-03-2014,91.056
14-03-2014,80.98
14-03-2014,21.36
15-03-2014,131.904
15-03-2014,7.218
15-03-2014,43.188
15-03-2014,142.776
15-03-2014,45.696
16-03-2014,471.92
17-03-2014,19.68
17-03-2014,34.86
17-03-2014,1071.576
17-03-2014,53.4
17-03-2014,32.67
17-03-2014,35.88
17-03-2014,15.552
17-03-2014,155.04
17-03-2014,12.96
17-03-2014,4.448
17-03-2014,16
17-03-2014,93.78
17-03-2014,613.908
17-03-2014,1579.746
17-03-2014,5.184
17-03-2014,126.624
17-03-2014,47.18
17-03-2014,30.44
17-03-2014,11.43
18-03-2014,30.768
18-03-2014,821.3
18-03-2014,22638.48
18-03-2014,1198.33
18-03-2014,8.016
18-03-2014,18.936
18-03-2014,1856.19
18-03-2014,1279.968
18-03-2014,111
18-03-2014,122.352
18-03-2014,21.376
19-03-2014,170.24
19-03-2014,33.57
19-03-2014,11.808
19-03-2014,20.016
19-03-2014,26.16
19-03-2014,323.976
19-03-2014,4.992
21-03-2014,32.952
21-03-2014,59.2
21-03-2014,7.408
21-03-2014,6.048
21-03-2014,3499.93
21-03-2014,14.4
21-03-2014,9.32
21-03-2014,122.94
21-03-2014,218.376
21-03-2014,122.97
21-03-2014,16.272
22-03-2014,74.352
22-03-2014,16.28
22-03-2014,7.644
22-03-2014,51.465
22-03-2014,314.352
23-03-2014,330.4
23-03-2014,604.752
23-03-2014,9.912
24-03-2014,24.9
24-03-2014,40.48
25-03-2014,25.44
25-03-2014,45.48
25-03-2014,366.786
25-03-2014,6.56
25-03-2014,14.88
26-03-2014,66.3
26-03-2014,27.936
26-03-2014,28.784
26-03-2014,18.75
26-03-2014,3.36
28-03-2014,1184.72
28-03-2014,6.12
28-03-2014,330.588
28-03-2014,302.376
29-03-2014,890.841
30-03-2014,49.65
30-03-2014,10.5
30-03-2014,15.84
30-03-2014,335.72
30-03-2014,127.302
30-03-2014,129.3
30-03-2014,251.944
30-03-2014,44.4
30-03-2014,205.666
31-03-2014,52.98
31-03-2014,1125.488
31-03-2014,4.032
31-03-2014,1.869
31-03-2014,8.134
31-03-2014,12.645
31-03-2014,0.852
31-03-2014,673.568
31-03-2014,79.984
01-04-2014,3.54
01-04-2014,11.784
01-04-2014,272.736
02-04-2014,34.24
02-04-2014,17.248
02-04-2014,82.896
03-04-2014,15.552
03-04-2014,354.9
04-04-2014,18.9
04-04-2014,99.98
04-04-2014,19.44
04-04-2014,12.96
04-04-2014,5.47
04-04-2014,232.55
04-04-2014,79.36
04-04-2014,7.184
05-04-2014,27.46
05-04-2014,46.8
05-04-2014,12.18
05-04-2014,57.68
05-04-2014,37.84
05-04-2014,5.472
06-04-2014,15.56
06-04-2014,353.568
06-04-2014,13.96
06-04-2014,56.96
06-04-2014,16.224
07-04-2014,21.84
07-04-2014,15.6
07-04-2014,32.432
07-04-2014,177.536
08-04-2014,16.4
08-04-2014,101.96
08-04-2014,255.42
08-04-2014,447.84
08-04-2014,158.9
08-04-2014,1089.75
08-04-2014,399.96
08-04-2014,13.184
08-04-2014,259.74
10-04-2014,14.45
10-04-2014,29.24
10-04-2014,95.648
10-04-2014,589.41
11-04-2014,19.44
11-04-2014,360
11-04-2014,447.968
11-04-2014,666.344
11-04-2014,2.94
11-04-2014,43.57
11-04-2014,573.728
11-04-2014,3991.98
11-04-2014,135.882
11-04-2014,275.94
11-04-2014,52.064
11-04-2014,8.376
11-04-2014,58.24
11-04-2014,35.34
11-04-2014,21.936
12-04-2014,129.98
13-04-2014,17.856
13-04-2014,509.97
13-04-2014,30.992
13-04-2014,71.928
13-04-2014,7.83
15-04-2014,106.96
15-04-2014,187.76
16-04-2014,39.072
18-04-2014,11.62
18-04-2014,13.12
18-04-2014,287.968
18-04-2014,10.75
18-04-2014,2.688
18-04-2014,149.352
18-04-2014,227.976
18-04-2014,317.058
19-04-2014,76.14
19-04-2014,58.05
19-04-2014,71.28
20-04-2014,59.92
20-04-2014,401.59
20-04-2014,44.84
20-04-2014,744.1
21-04-2014,16.52
21-04-2014,828.84
22-04-2014,247.84
22-04-2014,9.912
23-04-2014,281.372
23-04-2014,48.91
23-04-2014,281.372
23-04-2014,7.488
23-04-2014,22.336
23-04-2014,2.502
25-04-2014,303.25
25-04-2014,1487.04
25-04-2014,10.368
25-04-2014,302.376
25-04-2014,270.72
25-04-2014,6.24
26-04-2014,12.6
26-04-2014,230.28
26-04-2014,18.288
26-04-2014,21.4
28-04-2014,1679.96
28-04-2014,177.568
28-04-2014,20.86
28-04-2014,27.096
28-04-2014,5.34
28-04-2014,6.912
28-04-2014,3.15
28-04-2014,497.61
28-04-2014,159.98
29-04-2014,19.98
29-04-2014,561.584
29-04-2014,51.96
29-04-2014,17.94
29-04-2014,17.46
29-04-2014,99.92
30-04-2014,174.95
30-04-2014,826
30-04-2014,47.79
01-05-2014,19.536
03-05-2014,59.52
03-05-2014,479.97
03-05-2014,18.62
03-05-2014,49.632
03-05-2014,97.82
04-05-2014,52.096
04-05-2014,13.89
04-05-2014,115.36
04-05-2014,22.96
04-05-2014,40.2
04-05-2014,26.7
04-05-2014,28.99
04-05-2014,22.96
04-05-2014,4164.05
04-05-2014,49.632
04-05-2014,55.48
04-05-2014,689.82
04-05-2014,12.96
05-05-2014,35.44
05-05-2014,45.248
05-05-2014,11.88
05-05-2014,9.42
05-05-2014,24.56
05-05-2014,127.869
05-05-2014,6.56
07-05-2014,19.52
07-05-2014,220.776
07-05-2014,4.368
07-05-2014,9.81
07-05-2014,281.424
07-05-2014,479.97
07-05-2014,213.216
07-05-2014,14.62
07-05-2014,19.44
07-05-2014,180.96
08-05-2014,15.78
08-05-2014,16.36
08-05-2014,79.47
08-05-2014,4.56
08-05-2014,20.94
08-05-2014,45.98
08-05-2014,340.144
08-05-2014,135.99
08-05-2014,110.96
08-05-2014,15.96
08-05-2014,1133.35
08-05-2014,489.23
09-05-2014,264.32
09-05-2014,31.984
10-05-2014,99.98
10-05-2014,91.92
11-05-2014,51.56
11-05-2014,149.9
11-05-2014,1080.096
11-05-2014,47.79
11-05-2014,13.194
11-05-2014,273.568
11-05-2014,58.416
11-05-2014,20.04
12-05-2014,408.744
12-05-2014,348.488
12-05-2014,250.26
12-05-2014,179.94
12-05-2014,24.56
12-05-2014,24.816
12-05-2014,36.738
12-05-2014,15
12-05-2014,17.472
12-05-2014,172.736
12-05-2014,49.12
12-05-2014,98.376
12-05-2014,167.968
12-05-2014,1113.024
12-05-2014,29.94
12-05-2014,26.46
13-05-2014,8
13-05-2014,7.104
13-05-2014,398.352
13-05-2014,279.456
13-05-2014,55.5
13-05-2014,149.97
14-05-2014,310.88
16-05-2014,232.88
16-05-2014,56.4
17-05-2014,91.68
18-05-2014,15.936
18-05-2014,149.232
18-05-2014,3.984
18-05-2014,779.796
19-05-2014,34.2
19-05-2014,57.42
20-05-2014,10.332
20-05-2014,66.96
20-05-2014,139.86
20-05-2014,38.52
20-05-2014,33.28
20-05-2014,10.368
20-05-2014,20.784
21-05-2014,617.97
21-05-2014,245.88
21-05-2014,17.94
21-05-2014,447.86
21-05-2014,107.772
21-05-2014,2715.93
21-05-2014,31.84
21-05-2014,18.24
21-05-2014,4.832
21-05-2014,56.064
22-05-2014,44.95
22-05-2014,135.98
23-05-2014,208.16
23-05-2014,3.282
23-05-2014,17.96
23-05-2014,55.188
23-05-2014,21.168
23-05-2014,12.96
23-05-2014,5.04
24-05-2014,116.28
25-05-2014,75.6
25-05-2014,29.32
25-05-2014,14.62
26-05-2014,201.584
26-05-2014,13.392
26-05-2014,359.772
26-05-2014,225.296
26-05-2014,290.666
26-05-2014,48.4
26-05-2014,83.984
26-05-2014,102.624
27-05-2014,17.46
27-05-2014,567.12
27-05-2014,359.32
27-05-2014,99.99
27-05-2014,1113.504
28-05-2014,136.96
28-05-2014,57.408
28-05-2014,27.6
30-05-2014,355.455
30-05-2014,719.976
30-05-2014,235.95
30-05-2014,464
30-05-2014,13.62
30-05-2014,70.368
30-05-2014,39.96
30-05-2014,25.584
31-05-2014,659.97
31-05-2014,113.73
01-06-2014,31.12
01-06-2014,2573.82
01-06-2014,19.44
01-06-2014,12.78
01-06-2014,6.54
01-06-2014,391.98
01-06-2014,5.48
01-06-2014,755.96
01-06-2014,609.98
02-06-2014,161.61
02-06-2014,144.95
02-06-2014,8.952
02-06-2014,15
04-06-2014,91.96
04-06-2014,10.304
04-06-2014,65.568
04-06-2014,70.95
04-06-2014,154.764
04-06-2014,653.55
04-06-2014,116.784
04-06-2014,19.44
04-06-2014,33.11
04-06-2014,33.9
04-06-2014,55.48
04-06-2014,44.91
04-06-2014,299.97
05-06-2014,140.736
05-06-2014,5.78
05-06-2014,107.94
06-06-2014,17.14
06-06-2014,991.764
06-06-2014,62.016
06-06-2014,149.544
06-06-2014,100.24
06-06-2014,13.984
06-06-2014,13.36
06-06-2014,24.588
06-06-2014,1.365
07-06-2014,478.48
07-06-2014,559.992
08-06-2014,199.98
08-06-2014,62.91
09-06-2014,58.48
09-06-2014,41.88
10-06-2014,15.36
10-06-2014,386.34
10-06-2014,83.92
10-06-2014,9.09
11-06-2014,43.68
12-06-2014,35.168
12-06-2014,4.6
12-06-2014,53.424
12-06-2014,1261.33
12-06-2014,42.208
12-06-2014,14.016
12-06-2014,214.95
12-06-2014,23.976
12-06-2014,10.776
12-06-2014,35.04
12-06-2014,275.49
13-06-2014,14.52
14-06-2014,212.94
15-06-2014,797.944
15-06-2014,8.568
15-06-2014,36.544
15-06-2014,99.918
16-06-2014,41.4
16-06-2014,35
16-06-2014,647.84
16-06-2014,39.552
17-06-2014,3266.376
17-06-2014,6.24
17-06-2014,17.9
17-06-2014,62.016
17-06-2014,65.97
18-06-2014,139.8
20-06-2014,201.584
20-06-2014,3.52
20-06-2014,418.8
20-06-2014,509.488
20-06-2014,193.0656
20-06-2014,11.648
20-06-2014,15.552
20-06-2014,3.392
20-06-2014,471.9
21-06-2014,9.006
21-06-2014,617.97
21-06-2014,19.65
21-06-2014,3.76
21-06-2014,44.416
21-06-2014,21.4
21-06-2014,206.991
21-06-2014,95.968
21-06-2014,59.7
21-06-2014,36.84
21-06-2014,284.82
21-06-2014,104.01
21-06-2014,11.088
21-06-2014,3.984
21-06-2014,1214.85
21-06-2014,24.896
21-06-2014,1322.93
21-06-2014,25.164
22-06-2014,161.94
22-06-2014,196.752
22-06-2014,82.782
22-06-2014,501.81
22-06-2014,170.058
22-06-2014,8.226
22-06-2014,853.93
23-06-2014,20.016
23-06-2014,3.104
23-06-2014,86.376
24-06-2014,4.272
25-06-2014,447.84
25-06-2014,71.632
25-06-2014,9.328
25-06-2014,263.96
27-06-2014,223.96
27-06-2014,85.98
27-06-2014,306.2
28-06-2014,1228.465
28-06-2014,335.52
28-06-2014,31.086
28-06-2014,6.08
28-06-2014,41.472
28-06-2014,3.168
29-06-2014,13.92
29-06-2014,32.76
30-06-2014,5.248
30-06-2014,32.4
30-06-2014,6.6
30-06-2014,2.688
30-06-2014,21.312
30-06-2014,25.92
30-06-2014,334.768
30-06-2014,310.688
01-07-2014,76.728
01-07-2014,10.43
