,Order Date,Sales,Category,Sub-Category
540,2014-01-02,468.9,Technology,Accessories
5713,2014-01-03,5.94,Technology,Phones
8310,2014-01-03,376.509,Furniture,Tables
6548,2014-01-03,17.472,Office Supplies,Paper
7949,2014-01-03,63.552,Furniture,Furnishings
8309,2014-01-03,137.352,Office Supplies,Storage
7948,2014-01-03,362.25,Furniture,Chairs
7950,2014-01-03,129.552,Office Supplies,Storage
157,2014-01-03,457.568,Furniture,Chairs
7947,2014-01-03,18.84,Office Supplies,Fasteners
6547,2014-01-03,634.116,Furniture,Chairs
1373,2014-01-04,17.088,Office Supplies,Binders
1372,2014-01-04,29.6,Office Supplies,Labels
7954,2014-01-04,6.24,Office Supplies,Binders
7953,2014-01-04,66.96,Office Supplies,Storage
2201,2014-01-06,881.93,Technology,Phones
2200,2014-01-06,22.2,Furniture,Furnishings
9150,2014-01-06,65.52,Office Supplies,Appliances
9149,2014-01-06,138.56,Office Supplies,Binders
244,2014-01-06,2001.86,Furniture,Chairs
245,2014-01-06,166.72,Office Supplies,Storage
306,2014-01-06,45.48,Office Supplies,Binders
307,2014-01-06,289.2,Office Supplies,Art
247,2014-01-06,1503.25,Office Supplies,Appliances
246,2014-01-06,47.88,Office Supplies,Paper
248,2014-01-06,25.92,Office Supplies,Paper
715,2014-01-07,19.92,Office Supplies,Binders
1318,2014-01-07,575.92,Technology,Phones
1319,2014-01-07,5.184,Office Supplies,Binders
2172,2014-01-08,19.752,Office Supplies,Binders
1838,2014-01-08,44.128,Furniture,Furnishings
1837,2014-01-08,17.544,Office Supplies,Labels
2410,2014-01-08,5.68,Office Supplies,Fasteners
1839,2014-01-08,62.92,Office Supplies,Appliances
1840,2014-01-08,78.304,Office Supplies,Paper
8242,2014-01-09,357.0,Technology,Accessories
3194,2014-01-09,31.104,Office Supplies,Paper
3193,2014-01-09,3.648,Office Supplies,Binders
1161,2014-01-09,53.94,Office Supplies,Art
8241,2014-01-09,23.744,Office Supplies,Binders
8705,2014-01-10,4.71,Office Supplies,Fasteners
9869,2014-01-11,3.132,Office Supplies,Binders
4828,2014-01-11,5.64,Office Supplies,Art
4827,2014-01-11,69.52,Office Supplies,Storage
9868,2014-01-11,68.704,Furniture,Furnishings
8388,2014-01-11,76.12,Office Supplies,Appliances
9870,2014-01-11,22.428,Office Supplies,Binders
805,2014-01-11,43.176,Office Supplies,Art
806,2014-01-11,1983.968,Technology,Phones
4065,2014-01-11,7.52,Office Supplies,Fasteners
4066,2014-01-11,10.272,Office Supplies,Art
7559,2014-01-11,167.94,Office Supplies,Paper
5896,2014-01-11,21.4,Office Supplies,Paper
4158,2014-01-11,15.696,Office Supplies,Paper
7560,2014-01-11,31.68,Furniture,Furnishings
4068,2014-01-11,978.84,Technology,Phones
2831,2014-01-11,443.92,Office Supplies,Storage
2832,2014-01-11,155.976,Technology,Phones
7558,2014-01-11,533.94,Office Supplies,Appliances
4067,2014-01-11,47.808,Office Supplies,Labels
5895,2014-01-11,44.4,Office Supplies,Labels
8004,2014-01-12,45.84,Furniture,Furnishings
4904,2014-01-12,674.058,Furniture,Chairs
1792,2014-01-12,46.64,Office Supplies,Art
1791,2014-01-12,2807.84,Furniture,Chairs
3198,2014-01-12,95.968,Technology,Phones
2075,2014-01-12,58.2,Furniture,Furnishings
8005,2014-01-12,9.82,Furniture,Furnishings
4492,2014-01-12,8.128,Furniture,Furnishings
8003,2014-01-12,271.9,Technology,Phones
4491,2014-01-12,659.988,Technology,Copiers
4493,2014-01-12,36.288,Office Supplies,Paper
4494,2014-01-12,909.72,Furniture,Chairs
9628,2014-01-13,37.408,Office Supplies,Paper
4937,2014-01-13,1325.85,Office Supplies,Storage
9629,2014-01-13,3.438,Office Supplies,Binders
764,2014-01-13,50.94,Office Supplies,Envelopes
4938,2014-01-13,333.999,Furniture,Bookcases
765,2014-01-13,646.74,Technology,Accessories
767,2014-01-13,572.58,Office Supplies,Storage
766,2014-01-13,5.64,Office Supplies,Binders
4939,2014-01-13,19.9,Office Supplies,Art
2978,2014-01-13,545.94,Furniture,Chairs
763,2014-01-13,11.36,Office Supplies,Envelopes
6474,2014-01-14,61.96,Furniture,Bookcases
1913,2014-01-15,149.95,Technology,Accessories
970,2014-01-16,127.104,Furniture,Furnishings
973,2014-01-16,30.072,Office Supplies,Labels
971,2014-01-16,124.2,Technology,Phones
972,2014-01-16,18.588,Office Supplies,Binders
5364,2014-01-18,64.864,Office Supplies,Appliances
5465,2014-01-19,181.47,Furniture,Bookcases
5464,2014-01-19,108.72,Office Supplies,Envelopes
5463,2014-01-19,56.064,Office Supplies,Paper
5462,2014-01-19,32.34,Office Supplies,Binders
6330,2014-01-20,66.58,Office Supplies,Storage
6331,2014-01-20,43.92,Office Supplies,Art
6329,2014-01-20,247.716,Office Supplies,Appliances
6326,2014-01-20,13.98,Office Supplies,Storage
6328,2014-01-20,19.05,Office Supplies,Binders
6327,2014-01-20,272.94,Furniture,Furnishings
6332,2014-01-20,14.73,Furniture,Furnishings
6333,2014-01-20,29.7,Office Supplies,Binders
1125,2014-01-20,23.34,Office Supplies,Envelopes
7120,2014-01-20,67.194,Office Supplies,Binders
1121,2014-01-20,699.93,Technology,Phones
1123,2014-01-20,38.6,Furniture,Furnishings
1124,2014-01-20,6.63,Office Supplies,Art
1126,2014-01-20,1067.94,Furniture,Chairs
5736,2014-01-20,19.36,Office Supplies,Paper
1122,2014-01-20,22.96,Office Supplies,Art
5737,2014-01-20,19.3,Furniture,Furnishings
9989,2014-01-21,25.248,Furniture,Furnishings
9155,2014-01-23,40.08,Office Supplies,Paper
9886,2014-01-23,5.94,Office Supplies,Fasteners
8150,2014-01-26,141.96,Furniture,Bookcases
2584,2014-01-26,187.98,Technology,Phones
2583,2014-01-26,12.42,Furniture,Furnishings
8149,2014-01-26,10.68,Office Supplies,Binders
