Order Date,Sales
01-01-2014,0
02-01-2014,468.9
03-01-2014,2203.151
04-01-2014,119.888
05-01-2014,0
06-01-2014,5188.52
07-01-2014,601.024
08-01-2014,228.328
09-01-2014,469.436
10-01-2014,4.71
11-01-2014,4732.08
12-01-2014,5624.39
13-01-2014,3553.795
14-01-2014,61.96
15-01-2014,149.95
16-01-2014,299.964
17-01-2014,0
18-01-2014,64.864
19-01-2014,378.594
20-01-2014,2673.87
21-01-2014,25.248
22-01-2014,0
23-01-2014,46.02
24-01-2014,0
25-01-2014,0
26-01-2014,1097.25
27-01-2014,426.67
28-01-2014,3.928
29-01-2014,0
30-01-2014,240.5
31-01-2014,290.666
01-02-2014,0
02-02-2014,211.646
03-02-2014,202.384
04-02-2014,1458.558
05-02-2014,506.12
06-02-2014,738.598
07-02-2014,79.56
08-02-2014,886.28
09-02-2014,3254.15
10-02-2014,598.144
11-02-2014,2126.37
12-02-2014,1771.808
13-02-2014,0
14-02-2014,576.726
15-02-2014,21.36
16-02-2014,9.04
17-02-2014,54.208
18-02-2014,37.784
19-02-2014,0
20-02-2014,95.59
21-02-2014,8.85
22-02-2014,19.44
23-02-2014,11.364
24-02-2014,55.672
25-02-2014,0
26-02-2014,0
27-02-2014,19.456
28-02-2014,0
01-03-2014,16.448
02-03-2014,97.112
03-03-2014,1345.892
04-03-2014,233.45
05-03-2014,72.632
06-03-2014,741.336
07-03-2014,0
08-03-2014,477.994
09-03-2014,22.08
10-03-2014,862.683
11-03-2014,2784.163
12-03-2014,505.88
13-03-2014,0
14-03-2014,2108.55
15-03-2014,370.782
16-03-2014,471.92
17-03-2014,3960.358
18-03-2014,28106.716
19-03-2014,590.762
20-03-2014,0
21-03-2014,4109.816
22-03-2014,464.093
23-03-2014,945.064
24-03-2014,65.38
25-03-2014,459.146
26-03-2014,145.13
27-03-2014,0
28-03-2014,1823.804
29-03-2014,890.841
30-03-2014,1170.322
31-03-2014,1959.552
01-04-2014,288.06
02-04-2014,134.384
03-04-2014,370.452
04-04-2014,475.844
05-04-2014,187.432
06-04-2014,456.272
07-04-2014,247.408
08-04-2014,2743.154
09-04-2014,0
10-04-2014,728.748
11-04-2014,6693.748
12-04-2014,129.98
13-04-2014,638.576
14-04-2014,0
15-04-2014,294.72
16-04-2014,39.072
17-04-2014,0
18-04-2014,1020.532
19-04-2014,205.47
20-04-2014,1250.45
21-04-2014,845.36
22-04-2014,257.752
23-04-2014,643.98
24-04-2014,0
25-04-2014,2379.994
26-04-2014,282.568
27-04-2014,0
28-04-2014,2578.476
29-04-2014,768.844
30-04-2014,1048.74
01-05-2014,19.536
02-05-2014,0
03-05-2014,705.562
04-05-2014,5295.098
05-05-2014,260.977
06-05-2014,0
07-05-2014,1444.104
08-05-2014,2408.724
09-05-2014,296.304
10-05-2014,191.9
11-05-2014,1694.564
12-05-2014,2963.642
13-05-2014,898.382
14-05-2014,310.88
15-05-2014,0
16-05-2014,289.28
17-05-2014,91.68
18-05-2014,948.948
19-05-2014,91.62
20-05-2014,320.104
21-05-2014,4264.328
22-05-2014,180.93
23-05-2014,323.758
24-05-2014,116.28
25-05-2014,119.54
26-05-2014,1325.718
27-05-2014,2157.394
28-05-2014,221.968
29-05-2014,0
30-05-2014,1924.913
31-05-2014,773.7
01-06-2014,4407.1
02-06-2014,330.512
03-06-2014,0
04-06-2014,1650.69
05-06-2014,254.456
06-06-2014,1374.001
07-06-2014,1038.472
08-06-2014,262.89
09-06-2014,100.36
10-06-2014,494.71
11-06-2014,43.68
12-06-2014,1970.978
13-06-2014,14.52
14-06-2014,212.94
15-06-2014,942.974
16-06-2014,763.792
17-06-2014,3418.502
18-06-2014,139.8
